Trait Number,Human Readable Name,Example Panda,Example Panda,Example Panda
2,Military Jumpsuit ,https://pandapandas.s3.us-west-2.amazonaws.com/images/51.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/119.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/407.png
3,Yellow Fleece Sweater,https://pandapandas.s3.us-west-2.amazonaws.com/images/52.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/87.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/124.png
4,Blue Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/53.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/243.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/349.png
5,Aqua T-shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/54.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/168.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/186.png
6,Emerald Armor ,https://pandapandas.s3.us-west-2.amazonaws.com/images/55.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/171.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/500.png
7,Denim Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/56.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/140.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/196.png
8,Pink Han Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/57.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/302.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/338.png
9,Navy Sailor Outfit ,https://pandapandas.s3.us-west-2.amazonaws.com/images/58.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/96.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/515.png
10,Lavender T-shirt ,https://pandapandas.s3.us-west-2.amazonaws.com/images/59.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/214.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/285.png
11,Blue Shift Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/60.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/244.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/268.png
12,Red Academy Uniform,https://pandapandas.s3.us-west-2.amazonaws.com/images/61.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/199.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/298.png
13,Light Green Hanfu Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/62.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/86.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/120.png
14,Tan Jumpsuit ,https://pandapandas.s3.us-west-2.amazonaws.com/images/63.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/149.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/177.png
15,Tan Sailor Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/64.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/65.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/424.png
16,Yellow T-Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/66.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/127.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/175.png
17,Green Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/67.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/113.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/170.png
18,Red T-Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/68.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/218.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/308.png
19,Blue Officer Suit,https://pandapandas.s3.us-west-2.amazonaws.com/images/69.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/71.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/210.png
20,Teal Guy Feiri Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/70.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/104.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/117.png
21,Red Heart Overalls,https://pandapandas.s3.us-west-2.amazonaws.com/images/72.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/422.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/456.png
22,Green Academy Uniform,https://pandapandas.s3.us-west-2.amazonaws.com/images/73.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/277.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/514.png
23,Blue Tuxedo,https://pandapandas.s3.us-west-2.amazonaws.com/images/74.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/212.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/261.png
24,Hot Pink Ice Skater,https://pandapandas.s3.us-west-2.amazonaws.com/images/75.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/155.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/183.png
25,Light Blue Tuxedo,https://pandapandas.s3.us-west-2.amazonaws.com/images/76.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/321.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/327.png
26,Pink Frizzy Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/77.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/91.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/181.png
27,Pink Magician Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/78.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/280.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/397.png
28,Purple Academy Uniform,https://pandapandas.s3.us-west-2.amazonaws.com/images/79.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/115.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/189.png
29,Blue Tube Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/80.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/640.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/696.png
30,Pink Ice Skater,https://pandapandas.s3.us-west-2.amazonaws.com/images/81.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/192.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/475.png
31,Purple Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/82.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/105.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/597.png
32,Gold Pimp,https://pandapandas.s3.us-west-2.amazonaws.com/images/83.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/166.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/565.png
33,Pink Polkadot Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/84.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/232.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/246.png
34,Yellow Heart Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/85.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/135.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/179.png
35,Yellow Frizzy Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/88.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/451.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/509.png
36,Blue Magician Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/89.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/156.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/409.png
37,Pink Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/90.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/134.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/209.png
38,Pink Gymnast,https://pandapandas.s3.us-west-2.amazonaws.com/images/92.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/125.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/455.png
39,Blue Gymnast,https://pandapandas.s3.us-west-2.amazonaws.com/images/93.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/219.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/486.png
40,Green Han Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/94.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/320.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/651.png
41,Teal Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/95.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/174.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/180.png
42,Purple Polkadot Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/97.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/339.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/391.png
43,Purple Gymnast,https://pandapandas.s3.us-west-2.amazonaws.com/images/98.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/342.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/470.png
44,Grey Skull Soldier,https://pandapandas.s3.us-west-2.amazonaws.com/images/99.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/230.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/333.png
45,Light Blue Academy Uniform,https://pandapandas.s3.us-west-2.amazonaws.com/images/100.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/130.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/151.png
46,Yello Guy Fieri Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/101.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/138.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/239.png
47,Gold Ancient Warrior,https://pandapandas.s3.us-west-2.amazonaws.com/images/102.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/301.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/412.png
48,Blue Han Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/103.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/583.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/1043.png
49,Blue Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/106.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/129.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/164.png
50,Light Blue Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/107.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/147.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/240.png
51,Green Skull Soldier,https://pandapandas.s3.us-west-2.amazonaws.com/images/108.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/128.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/290.png
52,Blue Kung Fu,https://pandapandas.s3.us-west-2.amazonaws.com/images/109.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/178.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/251.png
53,Green Kung Fu,https://pandapandas.s3.us-west-2.amazonaws.com/images/110.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/193.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/282.png
54,Tan Carnival Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/111.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/484.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/487.png
55,Pink Hanfu Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/112.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/492.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/813.png
56,Blue Hanfu Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/114.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/594.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/654.png
57,Blue Guy Fieri Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/116.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/143.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/300.png
58,Teal Sailor ,https://pandapandas.s3.us-west-2.amazonaws.com/images/118.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/139.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/293.png
59,Orange Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/121.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/401.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/612.png
60,Green Heart Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/122.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/220.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/245.png
61,Pink Carnival Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/126.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/205.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/457.png
62,Purple Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/131.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/264.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/336.png
63,Orange Tube Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/132.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/314.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/332.png
64,Blue Tuxedo,https://pandapandas.s3.us-west-2.amazonaws.com/images/133.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/184.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/265.png
65,Green Carnival Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/136.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/161.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/213.png
66,Pink Commoner,https://pandapandas.s3.us-west-2.amazonaws.com/images/137.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/242.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/344.png
67,Blue Ice Skater,https://pandapandas.s3.us-west-2.amazonaws.com/images/142.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/429.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/502.png
68,Purple Skull Soldier,https://pandapandas.s3.us-west-2.amazonaws.com/images/144.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/235.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/392.png
69,Purple Heart Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/145.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/351.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/707.png
70,Purple Sailor,https://pandapandas.s3.us-west-2.amazonaws.com/images/146.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/286.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/317.png
71,Orange Guy Fieri Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/148.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/176.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/381.png
72,Green Magician Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/150.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/216.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/278.png
73,Blue Frizzy Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/152.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/231.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/550.png
74,Red Polkadot Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/153.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/482.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/694.png
75,Pink Tube Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/154.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/188.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/201.png
76,Black Tuxedo,https://pandapandas.s3.us-west-2.amazonaws.com/images/157.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/228.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/237.png
77,Purple Han Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/158.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/592.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/653.png
78,Teal Polkadot Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/159.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/292.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/331.png
79,Purple Hanfu Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/160.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/335.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/503.png
80,Pink Hanfu Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/162.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/260.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/275.png
81,Brown Tuxedo,https://pandapandas.s3.us-west-2.amazonaws.com/images/163.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/250.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/283.png
82,Purple Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/165.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/172.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/217.png
83,Teal Pimp,https://pandapandas.s3.us-west-2.amazonaws.com/images/167.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/169.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/438.png
84,Pink Officer Suit,https://pandapandas.s3.us-west-2.amazonaws.com/images/173.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/347.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/350.png
85,Purple Kung Fu,https://pandapandas.s3.us-west-2.amazonaws.com/images/185.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/380.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/387.png
86,Red Sailor,https://pandapandas.s3.us-west-2.amazonaws.com/images/187.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/208.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/354.png
87,Green Commoner,https://pandapandas.s3.us-west-2.amazonaws.com/images/190.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/204.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/291.png
88,Red Ancient Warrior,https://pandapandas.s3.us-west-2.amazonaws.com/images/194.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/369.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/440.png
89,Lime Kung Fu,https://pandapandas.s3.us-west-2.amazonaws.com/images/195.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/254.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/273.png
90,Purple Guy Fieri Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/197.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/257.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/289.png
91,Orange Panda Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/198.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/215.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/389.png
92,Light Blue Polkadot Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/202.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/247.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/465.png
93,Purple Pimp,https://pandapandas.s3.us-west-2.amazonaws.com/images/206.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/226.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/229.png
94,Purple Commoner,https://pandapandas.s3.us-west-2.amazonaws.com/images/222.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/287.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/540.png
95,Red Gymnast,https://pandapandas.s3.us-west-2.amazonaws.com/images/223.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/309.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/348.png
96,Green Frizzy Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/224.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/461.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/556.png
97,Blue Ancient Warrior,https://pandapandas.s3.us-west-2.amazonaws.com/images/227.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/313.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/357.png
98,Pink Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/233.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/468.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/499.png
99,Purple Tube Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/236.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/961.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/1037.png
100,Blue Commoner,https://pandapandas.s3.us-west-2.amazonaws.com/images/238.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/311.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/334.png
101,Red Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/248.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/253.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/262.png
102,Lime Officer Suit,https://pandapandas.s3.us-west-2.amazonaws.com/images/249.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/269.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/433.png
103,Red Pimp,https://pandapandas.s3.us-west-2.amazonaws.com/images/258.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/426.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/625.png
105,Purple Ancient Warrior,https://pandapandas.s3.us-west-2.amazonaws.com/images/272.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/305.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/345.png
106,Blue Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/274.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/329.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/463.png
107,Red Han Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/276.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/360.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/495.png
108,Pink Kung Fu,https://pandapandas.s3.us-west-2.amazonaws.com/images/281.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/421.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/441.png
109,Green Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/299.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/414.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/434.png
110,Yellow Magician Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/304.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/322.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/406.png
111,Light Blue Ice Skater,https://pandapandas.s3.us-west-2.amazonaws.com/images/316.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/403.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/427.png
112,Teal Gymnast,https://pandapandas.s3.us-west-2.amazonaws.com/images/318.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/367.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/443.png
113,Purple Carnival Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/328.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/437.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/670.png
114,Yellow Sailor,https://pandapandas.s3.us-west-2.amazonaws.com/images/340.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/366.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/549.png
115,Red Magician Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/346.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/368.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/405.png
116,Blue Pimp,https://pandapandas.s3.us-west-2.amazonaws.com/images/361.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/507.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/570.png
117,White Officer Suit,https://pandapandas.s3.us-west-2.amazonaws.com/images/375.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/390.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/616.png
118,Green Panda Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/402.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/622.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/647.png
119,Blue Panda Shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/418.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/432.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/501.png
120,Yellow Academy Uniform,https://pandapandas.s3.us-west-2.amazonaws.com/images/581.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/689.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/749.png
121,Purple Frizzy Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/595.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/721.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/748.png
122,White Gymnast,https://pandapandas.s3.us-west-2.amazonaws.com/images/599.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/687.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/846.png
123,Bridal Dress - Brides,,,
124,Robot Suit - Robots,,,
125,Red cape - Skeleton,,,